NeosVR ⇔ Resonite ProtoFlux 対応表

| NeosVR     | Resonite            |
|------------|---------------------|
| +          | Add                 |
| +          | AddMulti            |
| -          | Sub                 |
| -          | ValueSubMulti            |
| ×          | Mul                 |
| ×          | ValueMulMulti            |
| ÷          | Div                 |
| [+]        | ValueAddMulti<T>    |
| [÷]        | ValueDivMulti<T>    |
| %          | ValueMod            |
| ==         | Equals              |
| !=         | NotEquals           |
| <          | LessThan            |
| ≤          | LessOrEqual         |
| >          | GreaterThan         |
| ≥          | GreaterOrEqual      |
| ≈          | Approximately       |
| !≈         | ApproximatelyNot    |
| &          | AND                 |
| (&)        | MultiAND            |
| |          | OR                  |
| |          | OR_Multi            |
| (|)        | MultiOR             |
| ^          | XOR                 |
| (^)        | MultiXOR            |
| !          | NOT                 |
| x²         | ValueSquare         |
| x³         | ValueCube           |
| 1/x        | ValueReciprocal     |
| A⁻¹        | Inverse             |
| -n         | ValueNegate         |
| 1-x        | ValueOneMinus       |
| +/-        | ValuePlusMinus      |
| |V|        | Magnitude           |
| |V|²       | SqrMagnitude        |
| ·          | Dot                 |
| °          | Angle               |
| +1         | ValueInc            |
| -1         | ValueDec            |
| <<         | ShiftLeft           |
| >>         | ShiftRight          |
| ROL        | RotateLeft          |
| ROR        | RotateRight         |
| ?:         | Conditional         |
| (??)       | MultiNullCoalesce<T> |
| (??)       | NullCoalesce<T>     |
| (0/1)      | ZeroOne             |

【Time 系】
| NeosVR     | Resonite          |
|------------|-------------------|
| ×dT        | MulDeltaTime      |
| ÷dT        | DivDeltaTime      |
